"UACE" "UZA2010" "NAME"
"63217" 1 "New York-Newark, NY-NJ-CT"
"14401" 488 "Casa Grande, AZ"
"90658" 489 "Villas, NJ"
"58357" 490 "Monroe, MI"
"11026" 491 "Brunswick, GA"
"22204" 492 "Danville, IL-IN"
"15184" 493 "Chambersburg, PA"
"34516" 494 "Grants Pass, OR"
"61840" 495 "New Bern, NC"
"34246" 496 "Grand Island, NE"
"67807" 497 "Pascagoula, MS"
NA 600 "Virgin Islands, VI"
"15697" NA "Charlotte Amalie-Tutu, VI"
"22811" NA "Dededo-Machanao-Apotgan, GU"
